user;timeStamp;idParent;Id_Article
Le Monde;1479335886;null;international_0
SowAmadoualisow;1480055594;Le Monde;international_0
labagatel;1479532261;Le Monde;international_0
Seiko971;1479468344;Le Monde;international_0
Mugiwara_Ya_;1479455205;Le Monde;international_0
Kawa_Ssir;1479421952;Le Monde;international_0
_Myriaaaam;1479421830;Le Monde;international_0
fred062811;1479421758;Le Monde;international_0
magicalain;1479416354;Le Monde;international_0
isvaritto1;1479412134;Le Monde;international_0
natfrancenat;1479405011;Le Monde;international_0
Pauline_Bellan;1479402610;Le Monde;international_0
Holamundio;1479391093;Le Monde;international_0
MarySaillard;1479390657;Le Monde;international_0
mariegeorgem;1479388232;Le Monde;international_0
forbin03;1479385876;Le Monde;international_0
_Mazeuw;1479384570;Le Monde;international_0
AnnRoseRey;1479378872;Le Monde;international_0
ydjoli;1479377101;Le Monde;international_0
VdeNaguaBocsy;1479376481;Le Monde;international_0
TheGuiGunner;1479372634;Le Monde;international_0
MymyDonna;1479371060;Le Monde;international_0
86Deborah;1479370017;Le Monde;international_0
Sproutche;1479369520;Le Monde;international_0
laura17lee;1479369484;Le Monde;international_0
darius9Z;1479369215;Le Monde;international_0
comte_fenix;1479367648;Le Monde;international_0
Mlle_Sido;1479367517;Le Monde;international_0
Lecuyer_Yohan;1479367483;Le Monde;international_0
Akin1103;1479367477;Le Monde;international_0
lexandrovitch;1479367371;Le Monde;international_0
Benjamine15;1479366999;Le Monde;international_0
flaubae;1479366572;Le Monde;international_0
canousconcerne;1479366440;Le Monde;international_0
LarsAyiti;1479366073;Le Monde;international_0
KeenanIsLittt;1479365725;Le Monde;international_0
tuturman491;1479365488;Le Monde;international_0
fancyspark;1479364429;Le Monde;international_0
Le_Tone;1479363768;Le Monde;international_0
CvallatVallat;1479363747;Le Monde;international_0
sasha_smkhv;1479363742;Le Monde;international_0
dolabricot;1479361943;Le Monde;international_0
keng_loy;1479361865;Le Monde;international_0
DaDougieFresh;1479361671;Le Monde;international_0
Siscie_R;1479361404;Le Monde;international_0
Kreolyn971;1479358076;Le Monde;international_0
maslarelou;1479357367;Le Monde;international_0
CrcElise;1479356418;Le Monde;international_0
